taxkey,Address,District,nbhd,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_price,Sale_year,Sale_month,Region,Style_Category
2440062000.0,4242 N 17TH ST,1.0,1620,1.0,1938.0,0.0,1188.0,1.0,2.0,1.0,0.0,5838.0,103000.0,2009.0,1.0,1,1
2440054000.0,4315 N 17TH ST,1.0,1620,1.0,1951.0,0.0,1054.0,1.0,3.0,1.0,0.0,4797.0,73450.0,2009.0,1.0,1,1
2100815000.0,5037 N 51ST BL,1.0,1140,1.0,1950.0,0.0,998.0,1.0,3.0,1.0,0.0,5040.0,90000.0,2009.0,1.0,1,1
1920792000.0,5300 N 39TH ST,1.0,1160,1.0,1951.0,0.0,988.0,1.0,3.0,1.0,0.0,4800.0,63300.0,2009.0,1.0,1,1
2080017000.0,3721 W VILLARD AV,1.0,1140,1.5,1900.0,0.0,4507.0,1.0,5.0,1.0,1.0,6660.0,129000.0,2009.0,1.0,4,1
2500014000.0,4225 N 63RD ST,2.0,1490,1.0,1954.0,0.0,1456.0,1.0,3.0,1.0,1.0,5590.0,120900.0,2009.0,1.0,1,1
1779933130.0,5680 N 86TH PL,2.0,1020,1.0,1966.0,0.0,1379.0,1.0,3.0,1.0,1.0,8190.0,129900.0,2009.0,1.0,1,1
2261134000.0,6700 W HOPE AV,2.0,1490,1.0,1962.0,0.0,1361.0,1.0,3.0,1.0,1.0,5750.0,126500.0,2009.0,1.0,3,1
2250697000.0,4756 N 69TH ST,2.0,1480,1.0,1964.0,0.0,1334.0,1.0,3.0,1.0,1.0,5544.0,109000.0,2009.0,1.0,1,1
2260803000.0,4467 N 67TH ST,2.0,1490,1.0,1962.0,0.0,1334.0,1.0,3.0,1.0,1.0,5250.0,108000.0,2009.0,1.0,1,1
2250065000.0,4509 N 73RD ST,2.0,1480,1.0,1959.0,0.0,1288.0,1.0,3.0,2.0,0.0,5400.0,115000.0,2009.0,1.0,1,1
1500601000.0,10213 W MILL RD,2.0,820,1.0,1970.0,0.0,1120.0,1.0,4.0,1.0,1.0,8040.0,49000.0,2009.0,1.0,4,1
1880099000.0,7321 W SHERIDAN AV,2.0,1380,1.0,1955.0,0.0,864.0,1.0,3.0,1.0,0.0,6500.0,75000.0,2009.0,1.0,1,1
2130624000.0,8311 W HERBERT AV,2.0,1400,1.0,1957.0,0.0,864.0,1.0,3.0,1.0,0.0,6000.0,62500.0,2009.0,1.0,3,1
3140166000.0,2813 N HUMBOLDT BL,3.0,3330,2.0,1912.0,0.0,2152.0,2.0,4.0,2.0,0.0,4020.0,186500.0,2009.0,1.0,1,1
2811019000.0,3068 N FRATNEY ST,3.0,2880,1.5,1908.0,0.0,1656.0,2.0,4.0,2.0,0.0,3600.0,130000.0,2009.0,1.0,1,1
3151027000.0,3054 N NEWHALL ST,3.0,3150,1.0,1909.0,0.0,1359.0,1.0,3.0,2.0,0.0,3600.0,190000.0,2009.0,1.0,1,1
3170285000.0,2848 N DOWNER AV,3.0,3160,2.0,1921.0,0.0,1248.0,1.0,3.0,1.0,0.0,4800.0,215000.0,2009.0,1.0,1,1
3020320000.0,3025 N 84TH ST,5.0,2080,1.0,1950.0,0.0,1338.0,1.0,3.0,1.0,1.0,5280.0,162250.0,2009.0,1.0,1,1
2620642000.0,3876 N 88TH ST,5.0,2040,1.0,1949.0,0.0,1284.0,1.0,3.0,1.0,0.0,7000.0,134900.0,2009.0,1.0,1,1
3020796000.0,2757 N 87TH ST,5.0,2080,1.0,1950.0,0.0,1201.0,1.0,2.0,1.0,0.0,5400.0,121600.0,2009.0,1.0,1,1
2530607000.0,4334 N 89TH ST,5.0,1460,1.0,1956.0,0.0,1176.0,1.0,4.0,2.0,0.0,5400.0,107000.0,2009.0,1.0,1,1
2930826000.0,3456 N 89TH ST,5.0,2100,1.0,1947.0,0.0,1165.0,1.0,4.0,1.0,0.0,5000.0,99900.0,2009.0,1.0,1,1
2920375000.0,7807 W LISBON AV,5.0,2100,1.0,1953.0,0.0,1144.0,1.0,3.0,1.0,0.0,4800.0,128000.0,2009.0,1.0,1,1
2631085000.0,7924 W KEEFE AV,5.0,2040,1.0,1950.0,0.0,989.0,1.0,2.0,1.0,0.0,7200.0,109500.0,2009.0,1.0,3,1
2630545000.0,3838 N 78TH ST,5.0,2040,1.0,1958.0,0.0,1110.0,1.0,3.0,1.0,1.0,4800.0,105000.0,2009.0,1.0,1,1
2730120000.0,3739 N 5TH ST,6.0,2820,1.0,1922.0,0.0,1029.0,1.0,2.0,1.0,0.0,3968.0,89000.0,2009.0,1.0,1,1
2851444000.0,3324 N 27TH ST,7.0,2960,1.5,1910.0,0.0,1729.0,2.0,6.0,2.0,0.0,4290.0,24000.0,2009.0,1.0,1,1
4360480000.0,1248 S 37TH ST,8.0,4060,2.0,1913.0,0.0,1364.0,1.0,3.0,1.0,0.0,3570.0,70000.0,2009.0,1.0,2,1
4340441000.0,1210 S 23RD ST,8.0,4050,1.0,1901.0,0.0,1256.0,1.0,3.0,1.0,1.0,4200.0,87000.0,2009.0,1.0,2,1
4090327000.0,9420 W ST PAUL AV,10.0,2760,1.5,1952.0,0.0,1435.0,1.0,2.0,1.0,1.0,5600.0,105000.0,2009.0,1.0,2,1
2890655000.0,3298 N 58TH ST,10.0,1850,1.5,1936.0,0.0,1276.0,1.0,2.0,1.0,1.0,5200.0,135000.0,2009.0,1.0,1,1
4060612000.0,170 N 73RD ST,10.0,2720,1.0,1948.0,0.0,1012.0,1.0,3.0,1.0,1.0,5160.0,146000.0,2009.0,1.0,1,1
3061216000.0,2772 N 55TH ST,10.0,1860,1.0,1928.0,0.0,1853.0,1.0,4.0,1.0,1.0,4524.0,119900.0,2009.0,1.0,1,1
3291434000.0,2414 N 56TH ST,10.0,2540,1.0,1927.0,0.0,1025.0,1.0,3.0,1.0,0.0,4080.0,77000.0,2009.0,1.0,1,1
4200280000.0,218 S 66TH ST,10.0,2710,2.0,1919.0,0.0,1452.0,1.0,4.0,1.0,1.0,7440.0,158400.0,2009.0,1.0,2,1
4190362000.0,126 N 75TH ST,10.0,2720,1.0,1924.0,0.0,916.0,1.0,2.0,2.0,0.0,3240.0,132500.0,2009.0,1.0,1,1
5560529000.0,3543 S 57TH ST,11.0,4420,1.5,1941.0,0.0,1203.0,1.0,2.0,1.0,1.0,7930.0,128300.0,2009.0,1.0,2,1
5600230000.0,3675 S 85TH ST,11.0,4350,1.0,1938.0,0.0,1157.0,1.0,4.0,1.0,1.0,8040.0,152000.0,2009.0,1.0,2,1
5330788000.0,3136 S 29TH ST,11.0,4400,1.0,1932.0,0.0,1369.0,1.0,3.0,1.0,0.0,4800.0,157000.0,2009.0,1.0,2,1
5580960000.0,3731 S MASSACHUSETTS AV,11.0,4330,1.0,1961.0,0.0,1336.0,1.0,3.0,1.0,0.0,7150.0,176000.0,2009.0,1.0,2,1
5710504000.0,7206 W VAN BECK AV,11.0,4430,1.0,1979.0,0.0,1321.0,1.0,3.0,2.0,0.0,8040.0,185000.0,2009.0,1.0,1,1
5270312000.0,3407 S 78TH ST,11.0,4340,1.0,1958.0,0.0,1119.0,1.0,3.0,2.0,0.0,7625.0,167000.0,2009.0,1.0,2,1
5310442000.0,3237 S 49TH ST,11.0,4420,1.0,1953.0,0.0,1048.0,1.0,2.0,1.0,0.0,5050.0,120000.0,2009.0,1.0,2,1
4920106000.0,4508 W SUMAC PL,11.0,4260,1.0,1949.0,0.0,870.0,1.0,2.0,1.0,0.0,6650.0,116000.0,2009.0,1.0,2,1
5350779000.0,3218 S 16TH ST,13.0,4520,1.0,1950.0,0.0,1188.0,1.0,3.0,2.0,0.0,4725.0,115000.0,2009.0,1.0,2,1
5510015000.0,3552 S 19TH ST,13.0,4520,1.5,1946.0,0.0,1122.0,1.0,2.0,1.0,1.0,4880.0,140000.0,2009.0,1.0,2,1
5510458000.0,3622 S 17TH ST,13.0,4520,1.0,1943.0,0.0,971.0,1.0,3.0,1.0,0.0,5060.0,110000.0,2009.0,1.0,2,1
6440214000.0,2101 W MALLORY AV,13.0,4780,1.0,1966.0,0.0,1957.0,1.0,3.0,1.0,1.0,7104.0,228000.0,2009.0,1.0,4,1
6230718000.0,2501 W VOGEL AV,13.0,4660,1.0,1967.0,0.0,1414.0,1.0,3.0,1.0,1.0,7500.0,205000.0,2009.0,1.0,3,1
6900067000.0,2430 W ALVINA AV,13.0,4860,1.0,1959.0,0.0,1175.0,1.0,3.0,1.0,0.0,8480.0,98750.0,2009.0,1.0,1,1
6700213000.0,1416 W IONA TR,13.0,4800,1.0,1964.0,0.0,1122.0,1.0,3.0,1.0,1.0,7200.0,157500.0,2009.0,1.0,1,1
5030435000.0,2770 S WENTWORTH AV,14.0,4540,2.0,1910.0,0.0,2128.0,2.0,4.0,2.0,0.0,4235.0,217000.0,2009.0,1.0,1,1
4991838000.0,826 E CONWAY ST,14.0,4910,1.0,1924.0,0.0,973.0,1.0,3.0,1.0,0.0,2660.0,122500.0,2009.0,1.0,1,1
5030078000.0,1909 E RUSK AV,14.0,4610,1.5,1906.0,0.0,1412.0,1.0,4.0,2.0,1.0,3600.0,0.0,2009.0,1.0,2,1
4661230000.0,2219 S MOUND ST,14.0,4510,1.5,1900.0,0.0,1340.0,1.0,3.0,2.0,0.0,4290.0,230000.0,2009.0,1.0,1,1
5400633000.0,2233 E OKLAHOMA AV,14.0,4600,1.5,1920.0,0.0,1326.0,1.0,2.0,1.0,0.0,1710.0,95000.0,2009.0,1.0,3,1
2310288000.0,4536 N 24TH PL,1.0,1620,1.5,1938.0,0.0,1184.0,1.0,2.0,1.0,0.0,4900.0,97000.0,2009.0,2.0,1,1
2320576000.0,4679 N 19TH PL,1.0,1340,2.0,1943.0,0.0,1786.0,2.0,4.0,2.0,0.0,5440.0,47600.0,2009.0,2.0,1,1
1920543000.0,5432 N 37TH ST,1.0,1160,1.0,1923.0,0.0,1431.0,1.0,3.0,1.0,0.0,5400.0,68000.0,2009.0,2.0,1,1
2260572000.0,6556 W MEDFORD AV,2.0,1490,1.0,1955.0,0.0,1074.0,1.0,3.0,1.0,0.0,4800.0,89000.0,2009.0,2.0,3,1
2250708000.0,4641 N 68TH ST,2.0,1490,1.0,1956.0,0.0,1034.0,1.0,3.0,1.0,0.0,4800.0,90000.0,2009.0,2.0,1,1
2120425000.0,4943 N 73RD ST,2.0,1480,1.0,1955.0,0.0,1115.0,1.0,2.0,1.0,0.0,8100.0,90000.0,2009.0,2.0,1,1
3190501000.0,2527 N FREDERICK AV,3.0,3170,2.0,1887.0,0.0,3352.0,2.0,5.0,2.0,1.0,5715.0,324000.0,2009.0,2.0,1,1
3170034000.0,3053 N SHEPARD AV,3.0,3060,2.0,1907.0,0.0,2849.0,1.0,5.0,3.0,1.0,6000.0,590000.0,2009.0,2.0,1,1
3030527000.0,3039 N 77TH ST,5.0,2080,1.5,1952.0,0.0,1568.0,1.0,3.0,2.0,0.0,4800.0,163500.0,2009.0,2.0,1,1
3030855000.0,2866 N 78TH ST,5.0,2080,1.0,1947.0,0.0,1425.0,1.0,4.0,1.0,0.0,4800.0,183000.0,2009.0,2.0,1,1
2930546000.0,3137 N 91ST ST,5.0,2100,1.0,1952.0,0.0,1408.0,1.0,3.0,1.0,0.0,7200.0,146000.0,2009.0,2.0,1,1
2930727000.0,3445 N 89TH ST,5.0,2100,1.0,1951.0,0.0,1036.0,1.0,3.0,1.0,1.0,5000.0,141600.0,2009.0,2.0,1,1
2620680000.0,3914 N 87TH ST,5.0,2040,1.0,1949.0,0.0,978.0,1.0,4.0,1.0,0.0,6700.0,79800.0,2009.0,2.0,1,1
2630347000.0,3815 N 80TH ST,5.0,2040,1.0,1954.0,0.0,1282.0,1.0,3.0,1.0,0.0,6720.0,129800.0,2009.0,2.0,1,1
2169970112.0,10527 W STARK ST,5.0,1040,1.0,1962.0,0.0,1268.0,1.0,3.0,1.0,1.0,5508.0,137000.0,2009.0,2.0,2,1
1840050100.0,5360 N 107TH ST,5.0,1040,1.0,1956.0,0.0,1132.0,1.0,3.0,1.0,1.0,8990.0,130000.0,2009.0,2.0,1,1
2630467000.0,3943 N 78TH ST,5.0,2040,1.0,1955.0,0.0,978.0,1.0,3.0,1.0,0.0,6000.0,110000.0,2009.0,2.0,1,1
3141147000.0,401 E BURLEIGH ST,6.0,2930,2.0,1914.0,0.0,3087.0,2.0,5.0,2.0,1.0,6050.0,37500.0,2009.0,2.0,2,1
2710762000.0,3570 N 14TH ST,6.0,2860,1.0,1924.0,0.0,1696.0,1.0,4.0,1.0,0.0,4250.0,74516.0,2009.0,2.0,1,1
2670156000.0,3768 N 44TH ST,7.0,1820,1.0,1950.0,0.0,1598.0,1.0,4.0,2.0,1.0,6500.0,126500.0,2009.0,2.0,1,1
2660582000.0,3602 N 56TH ST,7.0,1830,1.0,1941.0,0.0,1272.0,1.0,3.0,1.0,0.0,4551.0,117500.0,2009.0,2.0,1,1
2270220000.0,4747 N 57TH ST,7.0,1150,1.0,1938.0,0.0,957.0,1.0,3.0,1.0,0.0,9507.0,95000.0,2009.0,2.0,1,1
2280355000.0,4448 N 50TH ST,7.0,1680,1.0,1960.0,0.0,1442.0,1.0,4.0,2.0,0.0,5808.0,97000.0,2009.0,2.0,1,1
4350307000.0,1019 S 32ND ST,8.0,4060,1.0,1927.0,0.0,1493.0,1.0,4.0,2.0,1.0,3795.0,124600.0,2009.0,2.0,1,1
1391591000.0,6704 N 56TH ST,9.0,560,1.0,1958.0,0.0,1275.0,1.0,3.0,1.0,1.0,8910.0,96000.0,2009.0,2.0,1,1
1229910110.0,7030 N 44TH ST,9.0,600,1.0,1936.0,0.0,1262.0,1.0,4.0,2.0,0.0,10650.0,105000.0,2009.0,2.0,1,1
730366000.0,8263 N 106TH ST,9.0,240,1.0,1972.0,0.0,1140.0,1.0,3.0,1.0,1.0,8100.0,150000.0,2009.0,2.0,1,1
730303000.0,8338 N ANN ST,9.0,240,1.0,1976.0,0.0,906.0,1.0,3.0,1.0,1.0,8400.0,115000.0,2009.0,2.0,1,1
1740010000.0,5719 N 60TH ST,9.0,960,1.0,1954.0,0.0,672.0,1.0,2.0,1.0,0.0,6000.0,37000.0,2009.0,2.0,1,1
